Day,HR (bpm)
745,113.4757612
746,113.4432143
747,113.4106675
748,113.3781206
749,113.3455738
750,113.3130269
751,113.2804801
752,113.2479332
753,113.2153864
754,113.1828395
755,113.1502927
756,113.1177458
757,113.085199
758,113.0526521
759,113.0201053
760,112.9875584
761,112.9726845
762,112.9578106
763,112.9429366
764,112.9280627
765,112.9131888
766,112.8983149
767,112.883441
768,112.868567
769,112.8536931
770,112.8388192
771,112.8239453
772,112.8090713
773,112.7941974
774,112.7793235
775,112.7644496
776,112.7495757
777,112.7347017
778,112.7198278
779,112.7049539
780,112.69008
781,112.675206
782,112.6603321
783,112.6454582
784,112.6305843
785,112.6157104
786,112.6008364
787,112.5859625
788,112.5710886
789,112.5562147
790,112.5413408
791,112.5265252
792,112.5117096
793,112.496894
794,112.4820784
795,112.4672628
796,112.4524472
797,112.4376316
798,112.422816
799,112.4080004
800,112.3931848
801,112.3783692
802,112.3635536
803,112.348738
804,112.3339225
805,112.3191069
806,112.3042913
807,112.2894757
808,112.2746601
809,112.2598445
810,112.2450289
811,112.2302133
812,112.2153977
813,112.2005821
814,112.1857665
815,112.1709509
816,112.1561353
817,112.1413198
818,112.1265042
819,112.1116886
820,112.096873
821,112.0820574
822,112.0672418
823,112.0524262
824,112.0376106
825,112.022795
826,112.0079794
827,111.9931638
828,111.9783482
829,111.9635326
830,111.9487171
831,111.9339015
832,111.9190859
833,111.9042703
834,111.8894547
835,111.8746391
836,111.8598235
837,111.8450079
838,111.8301923
839,111.8153767
840,111.8005611
841,111.7857455
842,111.7709299
843,111.7561143
844,111.7412988
845,111.7264832
846,111.7116676
847,111.696852
848,111.6820364
849,111.6672208
850,111.6524052
851,111.6375896
852,111.622774
853,111.6079584
854,111.5931428
855,111.5783272
856,111.5635116
857,111.5486961
858,111.5338805
859,111.5190649
860,111.5042493
861,111.4894337
862,111.4746181
863,111.4598025
864,111.4449869
865,111.4301713
866,111.4153557
867,111.4005401
868,111.3857245
869,111.3709089
870,111.3560933
871,111.3412778
872,111.3264622
873,111.3116466
874,111.296831
875,111.2820154
876,111.2671998
877,111.2523842
878,111.2375686
879,111.222753
880,111.2079374
881,111.1781896
882,111.1484417
883,111.1186939
884,111.0889461
885,111.0591982
886,111.0294504
887,110.9997025
888,110.9699547
889,110.9402068
890,110.910459
891,110.8807111
892,110.8509633
893,110.8212155
894,110.7914676
895,110.7617198
896,110.7319719
897,110.7022241
898,110.6724762
899,110.6427284
900,110.6129806
901,110.5832327
902,110.5534849
903,110.523737
904,110.4939892
905,110.4642413
906,110.4344935
907,110.4047457
908,110.3749978
909,110.34525
910,110.3155021
911,110.2933371
912,110.271172
913,110.2490069
914,110.2268419
915,110.2046768
916,110.1825118
